"dyad","user_id","other_id","participant_condition","other_condition","liked","other_liked"
"p1p5","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p5","U","U",4,4
"p1p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p1","U","U",7,6
"p1p6","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p6","S","U",1,1
"p1p7","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p7","S","S",7,7
"p1p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p1","S","S",6,6
"p1p8","mk:prolific_participant_real_2:1p1","mk:prolific_participant_real_2:1p8","U","S",5,5
"p1p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p1","S","U",6,6
"p2p5","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p5","S","S",7,6
"p2p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p2","S","S",4,5
"p2p6","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p6","U","S",7,6
"p2p6","mk:prolific_participant_real_2:1p6","mk:prolific_participant_real_2:1p2","S","U",7,6
"p2p7","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p7","U","U",7,6
"p2p8","mk:prolific_participant_real_2:1p2","mk:prolific_participant_real_2:1p8","S","U",7,6
"p2p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p2","U","S",7,7
"p3p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p3","S","U",4,4
"p3p7","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p7","S","U",5,6
"p3p8","mk:prolific_participant_real_2:1p3","mk:prolific_participant_real_2:1p8","U","U",7,7
"p3p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p3","U","U",7,7
"p4p5","mk:prolific_participant_real_2:1p5","mk:prolific_participant_real_2:1p4","U","S",6,6
"p4p7","mk:prolific_participant_real_2:1p7","mk:prolific_participant_real_2:1p4","S","U",4,4
"p4p8","mk:prolific_participant_real_2:1p8","mk:prolific_participant_real_2:1p4","S","S",4,4
"p1p5","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p5","U","U",7,6
"p1p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p1","U","U",7,6
"p1p6","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p6","S","U",4,4
"p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S",1,1
"p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S",7,6
"p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S",6,6
"p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S",4,4
"p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S",6,6
"p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S",6,6
"p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S",5,5
"p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U",5,4
"p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U",6,5
"p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U",6,6
"p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U",4,4
"p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S",6,6
"p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U",5,5
"p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S",5,5
"p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S",5,5
"p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U",6,6
"p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S",6,6
"p3p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","U","U",6,6
"p3p8","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p3","U","U",5,5
"p4p5","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p5","S","U",4,4
"p4p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p4","U","S",5,4
"p4p6","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p6","U","U",5,5
"p4p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p4","U","U",4,4
"p4p7","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p7","U","S",4,4
"p4p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p4","S","U",6,6
"p4p8","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p8","S","S",6,5
"p4p8","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p4","S","S",7,7
"p1p5","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p1","U","U",4,4
"p1p7","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1p1","S","S",7,7
"p2p5","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p5","S","S",7,6
"p2p5","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p2","S","S",7,7
"p2p6","mk:prolific_participant_real_3:1p2","mk:prolific_participant_real_3:1p6","U","S",7,7
"p2p6","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p2","S","U",7,7
"p2p7","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1p2","U","U",7,7
"p3p5","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p5","U","S",5,6
"p3p5","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p3","S","U",7,7
"p3p6","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p6","S","S",6,6
"p3p6","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p3","S","S",7,6
"p3p7","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p7","S","U",6,6
"p3p7","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1p3","U","S",7,7
"p3p8","mk:prolific_participant_real_3:1p3","mk:prolific_participant_real_3:1p8","U","U",4,4
"p4p5","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p5","S","U",6,6
"p4p5","mk:prolific_participant_real_3:1p5","mk:prolific_participant_real_3:1p4","U","S",7,7
"p4p6","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p6","U","U",7,7
"p4p6","mk:prolific_participant_real_3:1p6","mk:prolific_participant_real_3:1p4","U","U",7,7
"p4p7","mk:prolific_participant_real_3:1p4","mk:prolific_participant_real_3:1p7","U","S",7,7
"p4p7","mk:prolific_participant_real_3:1p7","mk:prolific_participant_real_3:1p4","S","U",7,7
"p1p5","mk:prolific_participant_real_3:2p1","mk:prolific_participant_real_3:2p5","U","U",7,7
"p1p5","mk:prolific_participant_real_3:2p5","mk:prolific_participant_real_3:2p1","U","U",6,5
"p1p6","mk:prolific_participant_real_3:2p1","mk:prolific_participant_real_3:2p6","S","U",7,7
"p1p6","mk:prolific_participant_real_3:2p6","mk:prolific_participant_real_3:2p1","U","S",6,6
"p1p7","mk:prolific_participant_real_3:2p1","mk:prolific_participant_real_3:2p7","S","S",7,7
"p1p7","mk:prolific_participant_real_3:2p7","mk:prolific_participant_real_3:2p1","S","S",6,6
"p1p8","mk:prolific_participant_real_3:2p1","mk:prolific_participant_real_3:2p8","U","S",6,6
"p1p8","mk:prolific_participant_real_3:2p8","mk:prolific_participant_real_3:2p1","S","U",5,5
"p2p5","mk:prolific_participant_real_3:2p2","mk:prolific_participant_real_3:2p5","S","S",7,7
"p2p5","mk:prolific_participant_real_3:2p5","mk:prolific_participant_real_3:2p2","S","S",6,5
"p2p6","mk:prolific_participant_real_3:2p6","mk:prolific_participant_real_3:2p2","S","U",4,4
"p2p7","mk:prolific_participant_real_3:2p2","mk:prolific_participant_real_3:2p7","U","U",7,7
"p2p7","mk:prolific_participant_real_3:2p7","mk:prolific_participant_real_3:2p2","U","U",7,7
"p2p8","mk:prolific_participant_real_3:2p2","mk:prolific_participant_real_3:2p8","S","U",4,4
"p2p8","mk:prolific_participant_real_3:2p8","mk:prolific_participant_real_3:2p2","U","S",5,5
"p3p5","mk:prolific_participant_real_3:2p3","mk:prolific_participant_real_3:2p5","U","S",7,7
"p3p5","mk:prolific_participant_real_3:2p5","mk:prolific_participant_real_3:2p3","S","U",4,3
"p3p6","mk:prolific_participant_real_3:2p3","mk:prolific_participant_real_3:2p6","S","S",7,7
"p3p6","mk:prolific_participant_real_3:2p6","mk:prolific_participant_real_3:2p3","S","S",7,7
"p3p7","mk:prolific_participant_real_3:2p3","mk:prolific_participant_real_3:2p7","S","U",7,7
"p3p7","mk:prolific_participant_real_3:2p7","mk:prolific_participant_real_3:2p3","U","S",5,6
"p3p8","mk:prolific_participant_real_3:2p3","mk:prolific_participant_real_3:2p8","U","U",7,7
"p3p8","mk:prolific_participant_real_3:2p8","mk:prolific_participant_real_3:2p3","U","U",4,4
"p4p5","mk:prolific_participant_real_3:2p4","mk:prolific_participant_real_3:2p5","S","U",6,6
"p4p5","mk:prolific_participant_real_3:2p5","mk:prolific_participant_real_3:2p4","U","S",6,5
"p4p6","mk:prolific_participant_real_3:2p4","mk:prolific_participant_real_3:2p6","U","U",6,6
"p4p6","mk:prolific_participant_real_3:2p6","mk:prolific_participant_real_3:2p4","U","U",7,6
"p4p7","mk:prolific_participant_real_3:2p4","mk:prolific_participant_real_3:2p7","U","S",6,6
"p4p7","mk:prolific_participant_real_3:2p7","mk:prolific_participant_real_3:2p4","S","U",7,6
"p4p8","mk:prolific_participant_real_3:2p4","mk:prolific_participant_real_3:2p8","S","S",5,5
"p4p8","mk:prolific_participant_real_3:2p8","mk:prolific_participant_real_3:2p4","S","S",5,5
"p1p5","mk:real_meeting_experiment_prolific:2p1","mk:real_meeting_experiment_prolific:2p5","U","U",7,7
"p1p5","mk:real_meeting_experiment_prolific:2p5","mk:real_meeting_experiment_prolific:2p1","U","U",6,5
"p1p6","mk:real_meeting_experiment_prolific:2p1","mk:real_meeting_experiment_prolific:2p6","S","U",6,6
"p1p7","mk:real_meeting_experiment_prolific:2p1","mk:real_meeting_experiment_prolific:2p7","S","S",7,6
"p1p7","mk:real_meeting_experiment_prolific:2p7","mk:real_meeting_experiment_prolific:2p1","S","S",4,3
"p1p8","mk:real_meeting_experiment_prolific:2p1","mk:real_meeting_experiment_prolific:2p8","U","S",7,6
"p1p8","mk:real_meeting_experiment_prolific:2p8","mk:real_meeting_experiment_prolific:2p1","S","U",7,5
"p2p5","mk:real_meeting_experiment_prolific:2p2","mk:real_meeting_experiment_prolific:2p5","S","S",7,7
"p2p5","mk:real_meeting_experiment_prolific:2p5","mk:real_meeting_experiment_prolific:2p2","S","S",7,7
"p2p6","mk:real_meeting_experiment_prolific:2p2","mk:real_meeting_experiment_prolific:2p6","U","S",6,6
"p2p6","mk:real_meeting_experiment_prolific:2p6","mk:real_meeting_experiment_prolific:2p2","S","U",7,7
"p2p7","mk:real_meeting_experiment_prolific:2p2","mk:real_meeting_experiment_prolific:2p7","U","U",7,7
"p2p7","mk:real_meeting_experiment_prolific:2p7","mk:real_meeting_experiment_prolific:2p2","U","U",6,7
"p2p8","mk:real_meeting_experiment_prolific:2p2","mk:real_meeting_experiment_prolific:2p8","S","U",7,7
"p2p8","mk:real_meeting_experiment_prolific:2p8","mk:real_meeting_experiment_prolific:2p2","U","S",7,6
"p3p5","mk:real_meeting_experiment_prolific:2p3","mk:real_meeting_experiment_prolific:2p5","U","S",6,6
"p3p5","mk:real_meeting_experiment_prolific:2p5","mk:real_meeting_experiment_prolific:2p3","S","U",6,5
"p3p6","mk:real_meeting_experiment_prolific:2p3","mk:real_meeting_experiment_prolific:2p6","S","S",5,5
"p3p6","mk:real_meeting_experiment_prolific:2p6","mk:real_meeting_experiment_prolific:2p3","S","S",7,7
"p3p7","mk:real_meeting_experiment_prolific:2p3","mk:real_meeting_experiment_prolific:2p7","S","U",6,6
"p3p7","mk:real_meeting_experiment_prolific:2p7","mk:real_meeting_experiment_prolific:2p3","U","S",6,5
"p3p8","mk:real_meeting_experiment_prolific:2p3","mk:real_meeting_experiment_prolific:2p8","U","U",6,5
"p3p8","mk:real_meeting_experiment_prolific:2p8","mk:real_meeting_experiment_prolific:2p3","U","U",7,5
"p4p5","mk:real_meeting_experiment_prolific:2p4","mk:real_meeting_experiment_prolific:2p5","S","U",5,5
"p4p5","mk:real_meeting_experiment_prolific:2p5","mk:real_meeting_experiment_prolific:2p4","U","S",6,6
"p4p6","mk:real_meeting_experiment_prolific:2p4","mk:real_meeting_experiment_prolific:2p6","U","U",3,5
"p4p6","mk:real_meeting_experiment_prolific:2p6","mk:real_meeting_experiment_prolific:2p4","U","U",7,7
"p4p7","mk:real_meeting_experiment_prolific:2p4","mk:real_meeting_experiment_prolific:2p7","U","S",7,7
"p4p7","mk:real_meeting_experiment_prolific:2p7","mk:real_meeting_experiment_prolific:2p4","S","U",5,5
"p4p8","mk:real_meeting_experiment_prolific:2p4","mk:real_meeting_experiment_prolific:2p8","S","S",7,7
"p4p8","mk:real_meeting_experiment_prolific:2p8","mk:real_meeting_experiment_prolific:2p4","S","S",6,6
"p1p5","mk:real_meeting_experiment_prolific:4p1","mk:real_meeting_experiment_prolific:4p5","U","U",7,6
"p1p5","mk:real_meeting_experiment_prolific:4p5","mk:real_meeting_experiment_prolific:4p1","U","U",7,7
"p1p6","mk:real_meeting_experiment_prolific:4p1","mk:real_meeting_experiment_prolific:4p6","S","U",6,6
"p1p7","mk:real_meeting_experiment_prolific:4p1","mk:real_meeting_experiment_prolific:4p7","S","S",7,7
"p1p7","mk:real_meeting_experiment_prolific:4p7","mk:real_meeting_experiment_prolific:4p1","S","S",6,6
"p1p8","mk:real_meeting_experiment_prolific:4p1","mk:real_meeting_experiment_prolific:4p8","U","S",6,6
"p1p8","mk:real_meeting_experiment_prolific:4p8","mk:real_meeting_experiment_prolific:4p1","S","U",6,7
"p2p5","mk:real_meeting_experiment_prolific:4p2","mk:real_meeting_experiment_prolific:4p5","S","S",5,5
"p2p5","mk:real_meeting_experiment_prolific:4p5","mk:real_meeting_experiment_prolific:4p2","S","S",7,7
"p2p7","mk:real_meeting_experiment_prolific:4p2","mk:real_meeting_experiment_prolific:4p7","U","U",6,6
"p2p7","mk:real_meeting_experiment_prolific:4p7","mk:real_meeting_experiment_prolific:4p2","U","U",6,6
"p2p8","mk:real_meeting_experiment_prolific:4p2","mk:real_meeting_experiment_prolific:4p8","S","U",4,4
"p2p8","mk:real_meeting_experiment_prolific:4p8","mk:real_meeting_experiment_prolific:4p2","U","S",6,6
"p3p5","mk:real_meeting_experiment_prolific:4p3","mk:real_meeting_experiment_prolific:4p5","U","S",5,5
"p3p5","mk:real_meeting_experiment_prolific:4p5","mk:real_meeting_experiment_prolific:4p3","S","U",7,7
"p3p8","mk:real_meeting_experiment_prolific:4p3","mk:real_meeting_experiment_prolific:4p8","U","U",5,3
"p3p8","mk:real_meeting_experiment_prolific:4p8","mk:real_meeting_experiment_prolific:4p3","U","U",6,6
"p4p5","mk:real_meeting_experiment_prolific:4p4","mk:real_meeting_experiment_prolific:4p5","S","U",5,5
"p4p5","mk:real_meeting_experiment_prolific:4p5","mk:real_meeting_experiment_prolific:4p4","U","S",6,6
"p4p7","mk:real_meeting_experiment_prolific:4p4","mk:real_meeting_experiment_prolific:4p7","U","S",6,6
"p4p7","mk:real_meeting_experiment_prolific:4p7","mk:real_meeting_experiment_prolific:4p4","S","U",6,6
"p4p8","mk:real_meeting_experiment_prolific:4p4","mk:real_meeting_experiment_prolific:4p8","S","S",5,4
"p4p8","mk:real_meeting_experiment_prolific:4p8","mk:real_meeting_experiment_prolific:4p4","S","S",6,6
"p3p5","mk:real_meeting_experiment_prolific:5p5","mk:real_meeting_experiment_prolific:5p3","S","U",1,1
"p3p6","mk:real_meeting_experiment_prolific:5p3","mk:real_meeting_experiment_prolific:5p6","S","S",7,7
"p3p6","mk:real_meeting_experiment_prolific:5p6","mk:real_meeting_experiment_prolific:5p3","S","S",6,6
"p3p7","mk:real_meeting_experiment_prolific:5p3","mk:real_meeting_experiment_prolific:5p7","S","U",7,7
"p3p7","mk:real_meeting_experiment_prolific:5p7","mk:real_meeting_experiment_prolific:5p3","U","S",5,6
"p4p5","mk:real_meeting_experiment_prolific:5p4","mk:real_meeting_experiment_prolific:5p5","S","U",6,6
"p4p5","mk:real_meeting_experiment_prolific:5p5","mk:real_meeting_experiment_prolific:5p4","U","S",5,5
"p4p6","mk:real_meeting_experiment_prolific:5p4","mk:real_meeting_experiment_prolific:5p6","U","U",7,7
"p4p6","mk:real_meeting_experiment_prolific:5p6","mk:real_meeting_experiment_prolific:5p4","U","U",6,6
"p4p7","mk:real_meeting_experiment_prolific:5p4","mk:real_meeting_experiment_prolific:5p7","U","S",7,7
"p4p7","mk:real_meeting_experiment_prolific:5p7","mk:real_meeting_experiment_prolific:5p4","S","U",6,6
"p4p8","mk:real_meeting_experiment_prolific:5p4","mk:real_meeting_experiment_prolific:5p8","S","S",7,7
"p4p8","mk:real_meeting_experiment_prolific:5p8","mk:real_meeting_experiment_prolific:5p4","S","S",7,7
"p1p5","mk:real_meeting_experiment_prolific:6p1","mk:real_meeting_experiment_prolific:6p5","U","U",7,7
"p1p5","mk:real_meeting_experiment_prolific:6p5","mk:real_meeting_experiment_prolific:6p1","U","U",5,5
"p1p6","mk:real_meeting_experiment_prolific:6p1","mk:real_meeting_experiment_prolific:6p6","S","U",6,6
"p1p6","mk:real_meeting_experiment_prolific:6p6","mk:real_meeting_experiment_prolific:6p1","U","S",6,6
"p1p7","mk:real_meeting_experiment_prolific:6p1","mk:real_meeting_experiment_prolific:6p7","S","S",7,7
"p1p7","mk:real_meeting_experiment_prolific:6p7","mk:real_meeting_experiment_prolific:6p1","S","S",7,7
"p1p8","mk:real_meeting_experiment_prolific:6p1","mk:real_meeting_experiment_prolific:6p8","U","S",5,4
"p1p8","mk:real_meeting_experiment_prolific:6p8","mk:real_meeting_experiment_prolific:6p1","S","U",7,7
"p2p5","mk:real_meeting_experiment_prolific:6p2","mk:real_meeting_experiment_prolific:6p5","S","S",5,3
"p2p5","mk:real_meeting_experiment_prolific:6p5","mk:real_meeting_experiment_prolific:6p2","S","S",6,6
"p2p6","mk:real_meeting_experiment_prolific:6p2","mk:real_meeting_experiment_prolific:6p6","U","S",1,1
"p2p6","mk:real_meeting_experiment_prolific:6p6","mk:real_meeting_experiment_prolific:6p2","S","U",6,6
"p2p7","mk:real_meeting_experiment_prolific:6p2","mk:real_meeting_experiment_prolific:6p7","U","U",5,4
"p2p7","mk:real_meeting_experiment_prolific:6p7","mk:real_meeting_experiment_prolific:6p2","U","U",7,7
"p2p8","mk:real_meeting_experiment_prolific:6p2","mk:real_meeting_experiment_prolific:6p8","S","U",5,5
"p2p8","mk:real_meeting_experiment_prolific:6p8","mk:real_meeting_experiment_prolific:6p2","U","S",7,7
"p3p5","mk:real_meeting_experiment_prolific:6p3","mk:real_meeting_experiment_prolific:6p5","U","S",6,6
"p3p5","mk:real_meeting_experiment_prolific:6p5","mk:real_meeting_experiment_prolific:6p3","S","U",4,4
"p3p6","mk:real_meeting_experiment_prolific:6p3","mk:real_meeting_experiment_prolific:6p6","S","S",6,6
"p3p6","mk:real_meeting_experiment_prolific:6p6","mk:real_meeting_experiment_prolific:6p3","S","S",5,4
"p3p7","mk:real_meeting_experiment_prolific:6p3","mk:real_meeting_experiment_prolific:6p7","S","U",6,6
"p3p7","mk:real_meeting_experiment_prolific:6p7","mk:real_meeting_experiment_prolific:6p3","U","S",6,4
"p3p8","mk:real_meeting_experiment_prolific:6p3","mk:real_meeting_experiment_prolific:6p8","U","U",6,6
"p3p8","mk:real_meeting_experiment_prolific:6p8","mk:real_meeting_experiment_prolific:6p3","U","U",7,7
"p4p5","mk:real_meeting_experiment_prolific:6p4","mk:real_meeting_experiment_prolific:6p5","S","U",7,7
"p4p5","mk:real_meeting_experiment_prolific:6p5","mk:real_meeting_experiment_prolific:6p4","U","S",4,4
"p4p6","mk:real_meeting_experiment_prolific:6p4","mk:real_meeting_experiment_prolific:6p6","U","U",7,7
"p4p6","mk:real_meeting_experiment_prolific:6p6","mk:real_meeting_experiment_prolific:6p4","U","U",5,4
"p4p7","mk:real_meeting_experiment_prolific:6p4","mk:real_meeting_experiment_prolific:6p7","U","S",7,7
"p4p7","mk:real_meeting_experiment_prolific:6p7","mk:real_meeting_experiment_prolific:6p4","S","U",4,6
"p4p8","mk:real_meeting_experiment_prolific:6p4","mk:real_meeting_experiment_prolific:6p8","S","S",7,7
"p4p8","mk:real_meeting_experiment_prolific:6p8","mk:real_meeting_experiment_prolific:6p4","S","S",7,7
