"dyad_std","question_content","participant_condition","other_condition","rel1","rel2"
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","conversation_quality","U","U",5,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","conversation_quality","U","U",5,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","liked","U","U",4,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","liked","U","U",4,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","other_liked","U","U",4,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","other_liked","U","U",4,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","video_conf_quality","U","U",7,5
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p5","video_conf_quality","U","U",7,5
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","conversation_quality","S","S",7,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","conversation_quality","S","S",7,7
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","liked","S","S",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","liked","S","S",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","other_liked","S","S",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","other_liked","S","S",7,6
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","video_conf_quality","S","S",3,4
"mk:prolific_participant_real_2:1p1_mk:prolific_participant_real_2:1p7","video_conf_quality","S","S",3,4
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","conversation_quality","S","S",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","conversation_quality","S","S",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","liked","S","S",7,4
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","liked","S","S",7,4
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","other_liked","S","S",6,5
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","other_liked","S","S",6,5
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_2:1p2_mk:prolific_participant_real_2:1p5","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_2:1p3_mk:prolific_participant_real_2:1p8","conversation_quality","U","U",7,7
"mk:prolific_participant_real_2:1p3_mk:prolific_participant_real_2:1p8","conversation_quality","U","U",7,7
"mk:prolific_participant_real_2:1p3_mk:prolific_participant_real_2:1p8","liked","U","U",7,7
"mk:prolific_participant_real_2:1p3_mk:prolific_participant_real_2:1p8","liked","U","U",7,7
"mk:prolific_participant_real_2:1p3_mk:prolific_participant_real_2:1p8","other_liked","U","U",7,7
"mk:prolific_participant_real_2:1p3_mk:prolific_participant_real_2:1p8","other_liked","U","U",7,7
"mk:prolific_participant_real_2:1p3_mk:prolific_participant_real_2:1p8","video_conf_quality","U","U",7,7
"mk:prolific_participant_real_2:1p3_mk:prolific_participant_real_2:1p8","video_conf_quality","U","U",7,7
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p5","conversation_quality","U","U",6,7
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p5","conversation_quality","U","U",6,7
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p5","liked","U","U",7,7
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p5","liked","U","U",7,7
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p5","other_liked","U","U",6,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p5","other_liked","U","U",6,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p5","video_conf_quality","U","U",6,7
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p5","video_conf_quality","U","U",6,7
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","conversation_quality","S","S",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","conversation_quality","S","S",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","liked","S","S",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","liked","S","S",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","other_liked","S","S",6,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","other_liked","S","S",6,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_2:2p1_mk:prolific_participant_real_2:2p7","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","conversation_quality","S","S",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","conversation_quality","S","S",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","liked","S","S",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","liked","S","S",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","other_liked","S","S",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","other_liked","S","S",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","video_conf_quality","S","S",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p5","video_conf_quality","S","S",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","conversation_quality","U","U",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","conversation_quality","U","U",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","liked","U","U",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","liked","U","U",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","other_liked","U","U",5,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","other_liked","U","U",5,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","video_conf_quality","U","U",6,6
"mk:prolific_participant_real_2:2p2_mk:prolific_participant_real_2:2p7","video_conf_quality","U","U",6,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","conversation_quality","S","S",3,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","conversation_quality","S","S",3,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","liked","S","S",5,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","liked","S","S",5,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","other_liked","S","S",5,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","other_liked","S","S",5,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","video_conf_quality","S","S",3,4
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p6","video_conf_quality","S","S",3,4
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","conversation_quality","U","U",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","conversation_quality","U","U",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","liked","U","U",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","liked","U","U",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","other_liked","U","U",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","other_liked","U","U",6,5
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","video_conf_quality","U","U",7,6
"mk:prolific_participant_real_2:2p3_mk:prolific_participant_real_2:2p8","video_conf_quality","U","U",7,6
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","conversation_quality","U","U",4,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","conversation_quality","U","U",4,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","liked","U","U",5,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","liked","U","U",5,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","other_liked","U","U",5,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","other_liked","U","U",5,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","video_conf_quality","U","U",3,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p6","video_conf_quality","U","U",3,4
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","conversation_quality","S","S",5,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","conversation_quality","S","S",5,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","liked","S","S",6,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","liked","S","S",6,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","other_liked","S","S",5,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","other_liked","S","S",5,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","video_conf_quality","S","S",6,7
"mk:prolific_participant_real_2:2p4_mk:prolific_participant_real_2:2p8","video_conf_quality","S","S",6,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","conversation_quality","S","S",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","conversation_quality","S","S",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","liked","S","S",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","liked","S","S",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","other_liked","S","S",6,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","other_liked","S","S",6,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","video_conf_quality","S","S",7,7
"mk:prolific_participant_real_3:1p2_mk:prolific_participant_real_3:1p5","video_conf_quality","S","S",7,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","conversation_quality","S","S",4,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","conversation_quality","S","S",4,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","liked","S","S",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","liked","S","S",6,7
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","other_liked","S","S",6,6
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","other_liked","S","S",6,6
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","video_conf_quality","S","S",5,6
"mk:prolific_participant_real_3:1p3_mk:prolific_participant_real_3:1p6","video_conf_quality","S","S",5,6
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","conversation_quality","U","U",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","conversation_quality","U","U",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","liked","U","U",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","liked","U","U",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","other_liked","U","U",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","other_liked","U","U",7,7
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","video_conf_quality","U","U",7,6
"mk:prolific_participant_real_3:1p4_mk:prolific_participant_real_3:1p6","video_conf_quality","U","U",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","conversation_quality","U","U",7,5
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","conversation_quality","U","U",7,5
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","liked","U","U",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","liked","U","U",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","other_liked","U","U",7,5
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","other_liked","U","U",7,5
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","video_conf_quality","U","U",7,7
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p5","video_conf_quality","U","U",7,7
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p7","conversation_quality","S","S",7,5
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p7","conversation_quality","S","S",7,5
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p7","liked","S","S",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p7","liked","S","S",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p7","other_liked","S","S",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p7","other_liked","S","S",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p7","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_3:2p1_mk:prolific_participant_real_3:2p7","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p5","conversation_quality","S","S",7,4
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p5","conversation_quality","S","S",7,4
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p5","liked","S","S",7,6
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p5","liked","S","S",7,6
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p5","other_liked","S","S",7,5
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p5","other_liked","S","S",7,5
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p5","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p5","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p7","conversation_quality","U","U",7,6
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p7","conversation_quality","U","U",7,6
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p7","liked","U","U",7,7
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p7","liked","U","U",7,7
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p7","other_liked","U","U",7,7
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p7","other_liked","U","U",7,7
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p7","video_conf_quality","U","U",7,6
"mk:prolific_participant_real_3:2p2_mk:prolific_participant_real_3:2p7","video_conf_quality","U","U",7,6
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p6","conversation_quality","S","S",7,7
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p6","conversation_quality","S","S",7,7
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p6","liked","S","S",7,7
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p6","liked","S","S",7,7
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p6","other_liked","S","S",7,7
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p6","other_liked","S","S",7,7
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p6","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p6","video_conf_quality","S","S",7,6
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p8","conversation_quality","U","U",7,3
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p8","conversation_quality","U","U",7,3
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p8","liked","U","U",7,4
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p8","liked","U","U",7,4
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p8","other_liked","U","U",7,4
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p8","other_liked","U","U",7,4
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p8","video_conf_quality","U","U",7,6
"mk:prolific_participant_real_3:2p3_mk:prolific_participant_real_3:2p8","video_conf_quality","U","U",7,6
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p6","conversation_quality","U","U",6,7
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p6","conversation_quality","U","U",6,7
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p6","liked","U","U",6,7
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p6","liked","U","U",6,7
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p6","other_liked","U","U",6,6
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p6","other_liked","U","U",6,6
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p6","video_conf_quality","U","U",3,7
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p6","video_conf_quality","U","U",3,7
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p8","conversation_quality","S","S",4,3
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p8","conversation_quality","S","S",4,3
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p8","liked","S","S",5,5
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p8","liked","S","S",5,5
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p8","other_liked","S","S",5,5
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p8","other_liked","S","S",5,5
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p8","video_conf_quality","S","S",6,7
"mk:prolific_participant_real_3:2p4_mk:prolific_participant_real_3:2p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","conversation_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","conversation_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","other_liked","U","U",7,5
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","other_liked","U","U",7,5
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","video_conf_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","video_conf_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","conversation_quality","S","S",7,4
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","conversation_quality","S","S",7,4
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","liked","S","S",7,4
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","liked","S","S",7,4
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","other_liked","S","S",6,3
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","other_liked","S","S",6,3
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","video_conf_quality","S","S",7,7
