"dyad_std","question_content","participant_condition","other_condition","rel1","rel2"
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","conversation_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","conversation_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","other_liked","U","U",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","other_liked","U","U",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","video_conf_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","video_conf_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","conversation_quality","S","S",4,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","conversation_quality","S","S",4,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","liked","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","liked","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","other_liked","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","other_liked","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","video_conf_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","video_conf_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","conversation_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","conversation_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","liked","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","liked","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","other_liked","U","U",5,5
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","other_liked","U","U",5,5
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","video_conf_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","video_conf_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","conversation_quality","U","U",3,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","conversation_quality","U","U",3,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","liked","U","U",3,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","liked","U","U",3,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","other_liked","U","U",5,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","other_liked","U","U",5,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","video_conf_quality","U","U",5,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","video_conf_quality","U","U",5,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","conversation_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","conversation_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","liked","U","U",7,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","liked","U","U",7,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","other_liked","U","U",6,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","other_liked","U","U",6,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","video_conf_quality","U","U",7,4
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","video_conf_quality","U","U",7,4
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","conversation_quality","S","S",7,5
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","conversation_quality","S","S",7,5
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","video_conf_quality","S","S",7,5
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","video_conf_quality","S","S",7,5
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p5","conversation_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p5","conversation_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p5","liked","S","S",5,7
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p5","liked","S","S",5,7
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p5","other_liked","S","S",5,7
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p5","other_liked","S","S",5,7
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p5","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p5","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p7","conversation_quality","U","U",6,6
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p7","conversation_quality","U","U",6,6
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p7","liked","U","U",6,6
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p7","liked","U","U",6,6
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p7","other_liked","U","U",6,6
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p7","other_liked","U","U",6,6
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p7","video_conf_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:4p2_mk:real_meeting_experiment_prolific:4p7","video_conf_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:4p3_mk:real_meeting_experiment_prolific:4p8","conversation_quality","U","U",5,5
"mk:real_meeting_experiment_prolific:4p3_mk:real_meeting_experiment_prolific:4p8","conversation_quality","U","U",5,5
"mk:real_meeting_experiment_prolific:4p3_mk:real_meeting_experiment_prolific:4p8","liked","U","U",5,6
"mk:real_meeting_experiment_prolific:4p3_mk:real_meeting_experiment_prolific:4p8","liked","U","U",5,6
"mk:real_meeting_experiment_prolific:4p3_mk:real_meeting_experiment_prolific:4p8","other_liked","U","U",3,6
"mk:real_meeting_experiment_prolific:4p3_mk:real_meeting_experiment_prolific:4p8","other_liked","U","U",3,6
"mk:real_meeting_experiment_prolific:4p3_mk:real_meeting_experiment_prolific:4p8","video_conf_quality","U","U",3,4
"mk:real_meeting_experiment_prolific:4p3_mk:real_meeting_experiment_prolific:4p8","video_conf_quality","U","U",3,4
"mk:real_meeting_experiment_prolific:4p4_mk:real_meeting_experiment_prolific:4p8","conversation_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:4p4_mk:real_meeting_experiment_prolific:4p8","conversation_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:4p4_mk:real_meeting_experiment_prolific:4p8","liked","S","S",5,6
"mk:real_meeting_experiment_prolific:4p4_mk:real_meeting_experiment_prolific:4p8","liked","S","S",5,6
"mk:real_meeting_experiment_prolific:4p4_mk:real_meeting_experiment_prolific:4p8","other_liked","S","S",4,6
"mk:real_meeting_experiment_prolific:4p4_mk:real_meeting_experiment_prolific:4p8","other_liked","S","S",4,6
"mk:real_meeting_experiment_prolific:4p4_mk:real_meeting_experiment_prolific:4p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:4p4_mk:real_meeting_experiment_prolific:4p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:5p3_mk:real_meeting_experiment_prolific:5p6","conversation_quality","S","S",7,6
"mk:real_meeting_experiment_prolific:5p3_mk:real_meeting_experiment_prolific:5p6","conversation_quality","S","S",7,6
"mk:real_meeting_experiment_prolific:5p3_mk:real_meeting_experiment_prolific:5p6","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:5p3_mk:real_meeting_experiment_prolific:5p6","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:5p3_mk:real_meeting_experiment_prolific:5p6","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:5p3_mk:real_meeting_experiment_prolific:5p6","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:5p3_mk:real_meeting_experiment_prolific:5p6","video_conf_quality","S","S",7,6
"mk:real_meeting_experiment_prolific:5p3_mk:real_meeting_experiment_prolific:5p6","video_conf_quality","S","S",7,6
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p6","conversation_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p6","conversation_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p6","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p6","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p6","other_liked","U","U",7,6
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p6","other_liked","U","U",7,6
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p6","video_conf_quality","U","U",7,5
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p6","video_conf_quality","U","U",7,5
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p8","conversation_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p8","conversation_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p8","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p8","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p8","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p8","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:5p4_mk:real_meeting_experiment_prolific:5p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p5","conversation_quality","U","U",5,5
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p5","conversation_quality","U","U",5,5
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p5","liked","U","U",7,5
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p5","liked","U","U",7,5
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p5","other_liked","U","U",7,5
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p5","other_liked","U","U",7,5
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p5","video_conf_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p5","video_conf_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p7","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p7","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p7","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p7","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p7","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p7","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p7","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:6p1_mk:real_meeting_experiment_prolific:6p7","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p5","conversation_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p5","conversation_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p5","liked","S","S",5,6
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p5","liked","S","S",5,6
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p5","other_liked","S","S",3,6
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p5","other_liked","S","S",3,6
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p5","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p5","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p7","conversation_quality","U","U",5,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p7","conversation_quality","U","U",5,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p7","liked","U","U",5,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p7","liked","U","U",5,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p7","other_liked","U","U",4,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p7","other_liked","U","U",4,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p7","video_conf_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:6p2_mk:real_meeting_experiment_prolific:6p7","video_conf_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p6","conversation_quality","S","S",6,5
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p6","conversation_quality","S","S",6,5
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p6","liked","S","S",6,5
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p6","liked","S","S",6,5
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p6","other_liked","S","S",6,4
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p6","other_liked","S","S",6,4
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p6","video_conf_quality","S","S",6,4
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p6","video_conf_quality","S","S",6,4
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p8","conversation_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p8","conversation_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p8","liked","U","U",6,7
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p8","liked","U","U",6,7
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p8","other_liked","U","U",6,7
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p8","other_liked","U","U",6,7
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p8","video_conf_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:6p3_mk:real_meeting_experiment_prolific:6p8","video_conf_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p6","conversation_quality","U","U",7,5
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p6","conversation_quality","U","U",7,5
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p6","liked","U","U",7,5
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p6","liked","U","U",7,5
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p6","other_liked","U","U",7,4
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p6","other_liked","U","U",7,4
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p6","video_conf_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p6","video_conf_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p8","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p8","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p8","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p8","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p8","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p8","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p8","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:6p4_mk:real_meeting_experiment_prolific:6p8","video_conf_quality","S","S",7,7
